"sellerId","asin","startDate","endDate","searchQuery","searchQueryScore","searchQueryVolume","totalQueryImpressionCount","asinImpressionCount","asinImpressionShare","totalClickCount","totalClickRate","asinClickCount","asinClickShare","totalMedianClickPriceAmount","totalMedianClickPriceCurrencyCode","asinMedianClickPriceAmount","asinMedianClickPriceCurrencyCode","totalSameDayShippingClickCount","totalOneDayShippingClickCount","totalTwoDayShippingClickCount","totalCartAddCount","totalCartAddRate","asinCartAddCount","asinCartAddShare","totalMedianCartAddPriceAmount","totalMedianCartAddPriceCurrencyCode","asinMedianCartAddPriceAmount","asinMedianCartAddPriceCurrencyCode","totalSameDayShippingCartAddCount","totalOneDayShippingCartAddCount","totalTwoDayShippingCartAddCount","totalPurchaseCount","totalPurchaseRate","asinPurchaseCount","asinPurchaseShare","totalMedianPurchasePriceAmount","totalMedianPurchasePriceCurrencyCode","asinMedianPurchasePriceAmount","asinMedianPurchasePriceCurrencyCode","totalSameDayShippingPurchaseCount","totalOneDayShippingPurchaseCount","totalTwoDayShippingPurchaseCount","partner_id"
PERFECT_SAMPLERS_SELLER,B0CSC35MSL,2025-03-30,2025-04-05,decaf coffee whole bean,32,276,9658,2,0.02,152,55.07,1,0.66,14.99,USD,10.99,USD,31,55,18,63,22.83,1,1.59,13.85,USD,10.99,USD,13,25,6,35,12.68,0,0.0,13.85,USD,,,5,14,5,
PERFECT_SAMPLERS_SELLER,B0CSC35MSL,2025-03-30,2025-04-05,flavored decaf coffee ground,37,342,10582,20,0.19,166,48.54,1,0.6,13.83,USD,10.99,USD,15,79,36,66,19.3,0,0.0,8.99,USD,,,4,41,8,28,8.19,0,0.0,9.99,USD,,,1,16,6,
PERFECT_SAMPLERS_SELLER,B0CSC35MSL,2025-03-30,2025-04-05,decaf coffee coconut ground,27,4,85,5,5.88,2,50.0,1,50.0,10.99,USD,10.99,USD,0,2,0,2,50.0,1,50.0,10.99,USD,10.99,USD,0,2,0,1,25.0,0,0.0,10.99,USD,,,0,1,0,
PERFECT_SAMPLERS_SELLER,B0CSC35MSL,2025-03-30,2025-04-05,decaf flavored coffee ground,18,322,9055,17,0.19,154,47.83,2,1.3,13.84,USD,10.99,USD,16,61,40,55,17.08,1,1.82,12.99,USD,10.99,USD,7,21,12,25,7.76,0,0.0,13.99,USD,,,3,8,6,
PERFECT_SAMPLERS_SELLER,B0CSC35MSL,2025-03-30,2025-04-05,coconut tea decaffeinated,40,20,520,13,2.5,13,65.0,1,7.69,15.76,USD,10.99,USD,0,0,0,2,10.0,0,0.0,12.25,USD,,,0,0,0,0,0.0,0,,,,,,0,0,0,
PERFECT_SAMPLERS_SELLER,B0CSC35MSL,2025-03-30,2025-04-05,coconut caramel coffee,35,145,3653,126,3.45,63,43.45,0,0.0,16.99,USD,,,5,20,16,22,15.17,0,0.0,10.99,USD,,,3,10,6,6,4.14,0,0.0,29.99,USD,,,2,0,3,
PERFECT_SAMPLERS_SELLER,B0CSC35MSL,2025-03-30,2025-04-05,crazy cups coconut caramel decaf ground coffee,13,1,60,1,1.67,1,100.0,1,100.0,10.99,USD,10.99,USD,0,1,0,1,100.0,1,100.0,10.99,USD,10.99,USD,0,1,0,1,100.0,1,100.0,10.99,USD,10.99,USD,0,1,0,
PERFECT_SAMPLERS_SELLER,B0CSC35MSL,2025-03-30,2025-04-05,decaf coffee dark roast,50,106,3228,2,0.06,47,44.34,1,2.13,11.99,USD,10.99,USD,7,18,14,18,16.98,0,0.0,12.98,USD,,,3,6,6,8,7.55,0,0.0,9.0,USD,,,1,1,4,
PERFECT_SAMPLERS_SELLER,B0CSC35MSL,2025-03-30,2025-04-05,decaf coffee flavored ground coconut,46,3,90,3,3.33,2,66.67,1,50.0,10.99,USD,10.99,USD,0,0,0,0,0.0,0,,,,,,0,0,0,0,0.0,0,,,,,,0,0,0,
PERFECT_SAMPLERS_SELLER,B0CSC35MSL,2025-03-30,2025-04-05,toasted coconut decaf coffee,52,2,66,2,3.03,14,700.0,1,7.14,15.5,USD,10.99,USD,0,0,7,0,0.0,0,,,,,,0,0,0,0,0.0,0,,,,,,0,0,0,
PERFECT_SAMPLERS_SELLER,B0CSC35MSL,2025-03-30,2025-04-05,coconut coffee decaf,4,6,205,9,4.39,3,50.0,3,100.0,10.99,USD,10.99,USD,1,1,1,2,33.33,2,100.0,10.99,USD,10.99,USD,0,1,1,1,16.67,1,100.0,10.99,USD,10.99,USD,0,1,0,
PERFECT_SAMPLERS_SELLER,B0CSC35MSL,2025-03-30,2025-04-05,decaffeinated coconut coffee,11,2,52,2,3.85,2,100.0,1,50.0,10.99,USD,10.99,USD,0,1,0,2,100.0,1,50.0,10.99,USD,10.99,USD,0,1,0,1,50.0,1,100.0,10.99,USD,10.99,USD,0,1,0,
PERFECT_SAMPLERS_SELLER,B0CSC35MSL,2025-03-30,2025-04-05,coffee decaf,19,1527,45130,9,0.02,528,34.58,2,0.38,14.27,USD,10.99,USD,82,164,55,298,19.52,1,0.34,12.78,USD,10.99,USD,50,95,28,168,11.0,0,0.0,12.99,USD,,,32,55,17,
PERFECT_SAMPLERS_SELLER,B0CSC35MSL,2025-03-30,2025-04-05,kauai coffee,30,4816,129997,3,0.0,1551,32.21,1,0.06,17.78,USD,10.99,USD,83,314,204,308,6.4,1,0.32,12.99,USD,10.99,USD,36,81,42,151,3.14,0,0.0,14.28,USD,,,21,47,21,
PERFECT_SAMPLERS_SELLER,B0CSC35MSL,2025-03-30,2025-04-05,coconut coffee ground,25,46,1129,17,1.51,18,39.13,1,5.56,12.98,USD,10.99,USD,2,11,3,8,17.39,1,12.5,12.98,USD,10.99,USD,0,4,2,3,6.52,0,0.0,10.99,USD,,,0,3,0,
PERFECT_SAMPLERS_SELLER,B0CSC35MSL,2025-03-30,2025-04-05,coconut caramel decaf coffee,48,1,60,2,3.33,1,100.0,1,100.0,10.99,USD,10.99,USD,0,0,1,0,0.0,0,,,,,,0,0,0,0,0.0,0,,,,,,0,0,0,
PERFECT_SAMPLERS_SELLER,B0CSC35MSL,2025-03-30,2025-04-05,cape cod coffee decaf,10,4,101,3,2.97,3,75.0,1,33.33,10.99,USD,10.99,USD,0,2,0,2,50.0,1,50.0,10.99,USD,10.99,USD,0,2,0,1,25.0,1,100.0,10.99,USD,10.99,USD,0,1,0,
PERFECT_SAMPLERS_SELLER,B0CSC35MSL,2025-03-30,2025-04-05,crazy cups coffee decaf coconut,49,2,42,2,4.76,1,50.0,1,100.0,10.99,USD,10.99,USD,0,0,1,0,0.0,0,,,,,,0,0,0,0,0.0,0,,,,,,0,0,0,
PERFECT_SAMPLERS_SELLER,B0CSC35MSL,2025-03-30,2025-04-05,crazy cups decaf coconut caramel,54,1,21,1,4.76,1,100.0,1,100.0,10.99,USD,10.99,USD,0,1,0,0,0.0,0,,,,,,0,0,0,0,0.0,0,,,,,,0,0,0,
PERFECT_SAMPLERS_SELLER,B0CSC35MSL,2025-03-30,2025-04-05,decaf coconut coffee ground,1,57,1301,46,3.54,30,52.63,7,23.33,10.99,USD,10.99,USD,1,17,2,6,10.53,3,50.0,10.99,USD,10.99,USD,1,2,0,3,5.26,2,66.67,10.99,USD,10.99,USD,1,0,0,
PERFECT_SAMPLERS_SELLER,B07VL5NJXZ,2025-03-30,2025-04-05,flavored coffee,2,5712,151836,638,0.42,2330,40.79,15,0.64,8.99,USD,25.73,USD,332,1014,501,1066,18.66,3,0.28,7.99,USD,25.73,USD,182,488,181,480,8.4,3,0.63,7.99,USD,25.73,USD,98,248,62,
PERFECT_SAMPLERS_SELLER,B07VL5NJXZ,2025-03-30,2025-04-05,coconut flavored coffee,85,113,2671,14,0.52,53,46.9,1,1.89,13.95,USD,25.73,USD,0,18,17,22,19.47,0,0.0,12.98,USD,,,0,9,9,7,6.19,0,0.0,12.99,USD,,,0,2,5,
PERFECT_SAMPLERS_SELLER,B07VL5NJXZ,2025-03-30,2025-04-05,decaf ground coffee flavored,91,56,1750,11,0.63,27,48.21,1,3.7,8.99,USD,25.73,USD,6,10,8,13,23.21,0,0.0,13.99,USD,,,1,6,4,8,14.29,0,0.0,8.99,USD,,,0,4,3,
PERFECT_SAMPLERS_SELLER,B07VL5NJXZ,2025-03-30,2025-04-05,new england coffee,48,2541,73600,96,0.13,872,34.32,2,0.23,16.29,USD,25.73,USD,114,399,189,371,14.6,0,0.0,16.29,USD,,,62,170,71,201,7.91,0,0.0,16.29,USD,,,44,89,38,
