keyword,isActive,channel,createdAt,updatedAt
dairy free chocolate mix,true,amazon,2025-04-10T15:17:27.793Z,2025-04-10T15:17:27.793Z
hot chocolate kcups,true,amazon,2025-04-10T15:17:27.787Z,2025-04-10T15:17:27.787Z
mushroom coffee organic,true,amazon,2025-04-10T15:17:27.784Z,2025-04-10T15:17:27.784Z
chocolate cocoa mix,true,amazon,2025-04-10T15:17:27.782Z,2025-04-10T15:17:27.782Z
dark chocolate mix,true,amazon,2025-04-10T15:17:27.779Z,2025-04-10T15:17:27.779Z
hot chocolate pods,true,amazon,2025-04-10T15:17:27.776Z,2025-04-10T15:17:27.776Z
hot chocolate cups,true,amazon,2025-04-10T15:17:27.773Z,2025-04-10T15:17:27.773Z
gourmet coffee,true,amazon,2025-04-10T15:17:27.769Z,2025-04-10T15:17:27.769Z
tea k-cups,true,amazon,2025-04-10T15:17:27.766Z,2025-04-10T15:17:27.766Z
smooth earl grey tea k cups,true,amazon,2025-04-10T15:17:27.763Z,2025-04-10T15:17:27.763Z
rooibos orange tea k cups,true,amazon,2025-04-10T15:17:27.762Z,2025-04-10T15:17:27.762Z
hibiscus berry & spice tea k cups,true,amazon,2025-04-10T15:17:27.760Z,2025-04-10T15:17:27.760Z
hibiscus berry tea k cups,true,amazon,2025-04-10T15:17:27.756Z,2025-04-10T15:17:27.756Z
herbal mango twist tea k cups,true,amazon,2025-04-10T15:17:27.754Z,2025-04-10T15:17:27.754Z
hot cinnamon spice tea k cups,true,amazon,2025-04-10T15:17:27.751Z,2025-04-10T15:17:27.751Z
hibiscus berry & spice tea,true,amazon,2025-04-10T15:17:27.714Z,2025-04-10T15:17:27.714Z
keurig coffee,true,amazon,2025-04-10T15:17:27.689Z,2025-04-10T15:17:27.689Z
k cups coffee,true,amazon,2025-04-10T15:17:27.684Z,2025-04-10T15:17:27.684Z
cappuccino k cups,true,amazon,2025-04-10T15:17:27.682Z,2025-04-10T15:17:27.682Z
rooibos orange tea,true,amazon,2025-04-10T15:17:27.680Z,2025-04-10T15:17:27.680Z
hot chocolate k cups,true,amazon,2025-04-10T15:17:27.679Z,2025-04-10T15:17:27.679Z
crazy cups k cups,true,amazon,2025-04-10T15:17:27.676Z,2025-04-10T15:17:27.676Z
french vanilla decaf k cups,true,amazon,2025-04-10T15:17:27.674Z,2025-04-10T15:17:27.674Z
half caff coffee k cups,true,amazon,2025-04-10T15:17:27.658Z,2025-04-10T15:17:27.658Z
k cup variety pack,true,amazon,2025-04-10T15:17:27.654Z,2025-04-10T15:17:27.654Z
k-cup coffee pods,true,amazon,2025-04-10T15:17:27.652Z,2025-04-10T15:17:27.652Z
cappuccino k cups for keurig,true,amazon,2025-04-10T15:17:27.651Z,2025-04-10T15:17:27.651Z
decaf hazelnut coffee k cups,true,amazon,2025-04-10T15:17:27.648Z,2025-04-10T15:17:27.648Z
k cups coffee pods,true,amazon,2025-04-10T15:17:27.643Z,2025-04-10T15:17:27.643Z
keurig coffee pods variety pack,true,amazon,2025-04-10T15:17:27.641Z,2025-04-10T15:17:27.641Z
variety coffee k cups,true,amazon,2025-04-10T15:17:27.639Z,2025-04-10T15:17:27.639Z
flavored k cups,true,amazon,2025-04-10T15:17:27.637Z,2025-04-10T15:17:27.637Z
k cups variety pack,true,amazon,2025-04-10T15:17:27.633Z,2025-04-10T15:17:27.633Z
ebt eligible food items,true,amazon,2025-04-10T15:17:27.631Z,2025-04-10T15:17:27.631Z
decaf coffee k cups flavored,true,amazon,2025-04-10T15:17:27.629Z,2025-04-10T15:17:27.629Z
green mountain coffee k cups,true,amazon,2025-04-10T15:17:27.626Z,2025-04-10T15:17:27.626Z
kpods coffee,true,amazon,2025-04-10T15:17:27.623Z,2025-04-10T15:17:27.623Z
decaf flavored coffee pods,true,amazon,2025-04-10T15:17:27.621Z,2025-04-10T15:17:27.621Z
coffee cups with lids,true,amazon,2025-04-10T15:17:27.619Z,2025-04-10T15:17:27.619Z
